"_id"	"crawl_time"	"weibo_url"	"user_id"	"created_at"	"tool"	"like_num"	"repost_num"	"comment_num"	"image_url"	"content"
"IFUoyuQMM"	"1619592438"	"https://weibo.com/1699432410/IFUoyuQMM"	"1699432410"	"2020-05-01 21:16:58"	"微博 weibo.com"	"64"	"38"	"18"	"[""http://wx2.sinaimg.cn/wap180/654b47daly1ged9fui546j21930u0npd.jpg""]"	"#国际疫情动态#【#俄罗斯确诊病例数超11万# 单日增幅再创新高】据俄罗斯防疫指挥部5月1日发布的新冠疫情数据，在过去24小时俄新增确诊病例7933例，再创单日增幅新高，全国累计确诊病例数达114431例。 　　数据显示，俄新增死亡病例96例，累计死亡1169例；新增治愈1601例，累计治愈13220例。（记者鲁金博）"
"IFTkIE2ei"	"1619592438"	"https://weibo.com/1699432410/IFTkIE2ei"	"1699432410"	"2020-05-01 18:34:46"	"微博 weibo.com"	"91"	"25"	"20"	"[""http://wx4.sinaimg.cn/wap180/654b47daly1ged4r6rpblj21cc0u0b29.jpg""]"	"【#韩国单日新增确诊病例连续3天低于10例#】韩国疾病管理本部1日发布的新冠疫情统计数据显示，当地时间4月30日0时至5月1日0时，韩国新增9例确诊病例，其中8例为输入病例，1例为本土感染病例。至此韩国已连续3天单日新增确诊病例少于10例。 　　截至1日0时，韩国累计确诊病例10774例，累计死亡248例，累计治愈9072例。（记者陆睿）"
"IFTg1guN7"	"1619592438"	"https://weibo.com/1699432410/IFTg1guN7"	"1699432410"	"2020-05-01 18:23:11"	"微博 weibo.com"	"76"	"26"	"20"	"[""http://wx3.sinaimg.cn/wap180/654b47daly1ged4ecwklqj20xm0kajuk.jpg""]"	"【4月份以来我国防疫物资出口增长明显】海关总署5月1日发布数据显示，3月1日至4月30日，全国共验放出口主要防疫物资价值712亿元。包括：口罩278亿只，防护服1.3亿件，新冠病毒检测试剂盒7341万人份，红外测温仪1257万件，呼吸机4.91万台，病员监护仪12.4万台，护目镜4363万副，外科手套8.54亿双。4月份以来，我国出口防疫物资呈明显增长态势，日均出口额从上旬的约10亿元，增至近期日均30亿元以上，一个月内持续增长逾3倍。（记者刘红霞）"
"IFT5QFbP9"	"1619592438"	"https://weibo.com/1699432410/IFT5QFbP9"	"1699432410"	"2020-05-01 17:58:08"	"微博 weibo.com"	"571"	"25"	"47"	"[""http://wx3.sinaimg.cn/wap180/654b47daly1ged3og58yxj218x0u0hdt.jpg""]"	"#国际疫情动态# 【#德国累计确诊病例超16万#】德国疾控机构罗伯特·科赫研究所1日公布的新冠疫情数据显示，截至当地时间1日0时，德国单日新增确诊病例1639例，累计160758例；新增死亡病例193例，累计死亡6481例；新增治愈病例3300例，累计治愈126900例。 　　德国联邦政府与各州政府4月30日达成协议，继续实施目前的社交限制措施，但允许博物馆、动植物园等部分公共设施开放。（记者田颖）"
"IFT4MdLYR"	"1619592438"	"https://weibo.com/1699432410/IFT4MdLYR"	"1699432410"	"2020-05-01 17:55:29"	"微博 weibo.com"	"123"	"68"	"37"	"[""http://wx4.sinaimg.cn/wap180/654b47daly1ged3my3vlbj20fm0fmx6p.jpg""]"	"【特朗普政府所作所为危害国际抗疫努力】美国新冠确诊病例数目前已超过106万，死亡病例数已突破6万。多国专家和媒体近来指出，特朗普政府应对不力导致美国成为全球新冠疫情最严重的国家，而美方还在用谎言大话误导美国民众，用“甩锅”世界卫生组织来推卸自身责任，在疫情期间继续制裁伊朗、委内瑞拉，不顾病毒扩散风险加快遣返来自拉美的非法移民。美方所作所为严重损害本国人民健康权，阻碍国际社会携手抗疫努力并威胁全球公共卫生安全大局。 　　美国《大西洋》月刊刊文指出，应对危机需要团结、迅速、理性，而美国此次应对疫情却像是一个基础设施落后、政府运转失灵的国家。特朗普政府浪费了大量时间，其所作所为无非是说大话和撒谎。 　　 “甩锅”世卫转移矛盾 　　面对疫情，特朗普政府起初轻描淡写、漫不经心，在局面变得难以收拾后，又千方百计“甩锅”，指责世卫组织领导抗疫不力，宣布暂停向其缴纳会费。据报道，特朗普及其高级助手还在幕后谋划，试图让世卫组织在全球抗疫过程中“靠边站”。 　　美方的荒谬言行引发国际舆论广泛批评。世界银行前首席经济学家克鲁格说，特朗普政府包括“甩锅”世卫组织在内的种种做法是“在向人类健康开战”。 　　英国权威医学刊物《柳叶刀》主编理查德·霍顿指责美国“断供”世卫组织犯下了“反人类罪”。他说，美国政府决定伤害一个唯一目的是保护世界各国人民健康和福祉的机构，这是明知故犯地对全人类发起不人道的攻击。 　　美国“断供”世卫组织的恶劣后果正逐渐显现。联合国日前警告，由于资金缺口巨大，世卫组织可能会大幅减少对战乱国家也门的人道主义援助，包括停止对当地医院等医疗设施的资助。也门此前已报告了首例新冠确诊病例。该国医疗系统十分脆弱，如果疫情暴发将对当地民众生命安全造成巨大威胁。 中国外交部发言人耿爽指出，美国自恃世卫组织最大出资国，认为世卫组织应当听其指挥，这是典型的霸权心态。当前，支持世卫组织发挥作用就能挽救更多的生命，就能阻止疫情进一步蔓延，这是绝大多数国家的共识，也是任何有良知的人应当做出的选择。  　　无情阻碍他国抗疫 　　新冠疫情目前仍在世界范围内持续扩散，全球确诊病例数已超过300万，死亡病例数已经超过21万。在此危急时刻，特朗普政府仍无情地拒绝解除对伊朗、委内瑞拉等国的制裁，并加速遣返来自拉美国家的非法移民，增大了这些国家的抗疫难度。 　　伊朗疫情暴发后，美国政府有关言行相互矛盾，一方面称愿向伊方提供帮助，另一方面却继续追加新制裁措施。美国国务院还公布一项针对委内瑞拉的方案，以逐步解除经济制裁为诱饵，寻求在该国实现政权更迭。 　　美国智库大西洋理事会“伊朗未来倡议”项目负责人芭芭拉·斯莱文表示，美方口头上担心伊朗和委内瑞拉人民，实际上传递的信息是，只要推翻两国现政权就能避免制裁。这体现了特朗普政府的虚伪和残忍。 　　与此同时，美国政府以防控新冠疫情为由，近来加大了对来自墨西哥和中美洲国家非法移民的遣返力度。危地马拉政府日前表示，3月以来，多架来自美国的载有被遣返非法移民的航班上出现新冠确诊病例，航班上人员的平均确诊病例占比约为50%。 　　拉美国家的疫情本就不容乐观，美国这种做法无疑是在雪上加霜。包括美国华盛顿拉丁美洲研究所在内的60多家机构日前发表联合声明，谴责美国政府在全球疫情暴发期间继续驱逐非法移民。声明说，此类行为冷酷无情，并且将全球都置于风险之中。（记者 朱瑞卿）"
"IFRzdqMQG"	"1619592438"	"https://weibo.com/1699432410/IFRzdqMQG"	"1699432410"	"2020-05-01 14:04:59"	"微博 weibo.com"	"35"	"29"	"12"	"[""http://wx1.sinaimg.cn/wap180/654b47daly1gecwyzwhvxj20xp0u0gzl.jpg""]"	"#严防疫情反弹#【国务院联防联控机制通报#黑龙江新冠肺炎聚集性疫情#】国务院联防联控机制通报黑龙江聚集性疫情：2020年4月以来，黑龙江省哈尔滨市、牡丹江市发生境外新冠肺炎输入病例关联的本土聚集性疫情，特别是涉及多家医院先后发生院内感染，持续时间长，感染病例多，社会影响恶劣，给巩固来之不易的疫情防控成果带来新的压力。全文→http://t.cn/A6A53jZP"
"IFQOOtfQh"	"1619592438"	"https://weibo.com/1699432410/IFQOOtfQh"	"1699432410"	"2020-05-01 12:10:40"	"微博 weibo.com"	"599"	"65"	"91"	"[""http://wx3.sinaimg.cn/wap180/654b47daly1gectnpgq0fj20fm0fmx6p.jpg""]"	"#国际疫情动态#【#美国两艘军舰上新冠肺炎病例继续增加#】美国海军4月30日通报说，“西奥多·罗斯福”号航空母舰和“基德”号驱逐舰上新冠病毒感染病例继续增加。 　　通报说，根据“西奥多·罗斯福”号和“基德”号的全员检测结果，“西奥多·罗斯福”号上病例升至1102例，“基德”号上病例升至78例。 　　目前，“西奥多·罗斯福”号停靠在关岛，“基德”号停靠在加利福尼亚州圣迭戈市的一处美国海军基地。 　　美国国防部4月30日公布的统计数据显示，截至当天清晨，美国各军种共有4541名现役人员感染新冠病毒，死亡2例。其中，美国海军感染病例最多，达1822例。（记者孙丁　徐剑梅）"
"IFQyxoQOa"	"1619592438"	"https://weibo.com/1699432410/IFQyxoQOa"	"1699432410"	"2020-05-01 11:30:33"	"微博 weibo.com"	"45"	"27"	"12"	"[""http://wx3.sinaimg.cn/wap180/654b47daly1gecsictcq3j21900u0u0y.jpg""]"	"#国际疫情动态#【#法国新冠肺炎死亡病例升至24376例#】法国卫生总署署长萨洛蒙4月30日说，法国新冠肺炎死亡病例升至24376例，在过去24小时内增加289例。萨洛蒙在新闻发布会上说，在所有死亡病例中，医院死亡病例为15244例，较前一日增加191例；包括失能老人养老院在内的社会医疗机构死亡病例为9132例，较前一日增加98例。 　　他说，法国目前有26283名新冠肺炎患者在医院接受治疗，在过去24小时内减少551人；4019名患者在重症监护室接受治疗，在过去24小时内减少188人。 　　法国政府网站4月30日公布的数据显示，法国新增1139例确诊病例，累计确诊129581例；其中在包括失能老人养老院在内的社会医疗机构中，累计确诊病例32355例，较前一日增加560例。 　　法国卫生部长韦朗当天在新闻发布会上首次发布了法国全国新冠肺炎疫情分级图，根据病毒传播情况和医院重症接收情况以不同颜色对全国101个省进行分级。疫情最严重者显示为“红色”，当天共有35个省显示为红色。（记者陈晨）"
"IFPSO3zIb"	"1619592438"	"https://weibo.com/1699432410/IFPSO3zIb"	"1699432410"	"2020-05-01 09:47:44"	"微博原生直播"	"445"	"136"	"287"		"【正在直播：“五一”假期新华社记者带你“云”逛公园】“五一”假期市民游客出游意愿增强。为了配合新冠肺炎疫情防控，不少景点开启“云游”模式，创新文旅产品。记者将从北京、广州和南宁等地，和您一起“云”游公园。#视点直播#带你看↓↓↓ 新华视点的微博视频 ."
"IFPqpx2qZ"	"1619592438"	"https://weibo.com/1699432410/IFPqpx2qZ"	"1699432410"	"2020-05-01 08:37:48"	"微博 weibo.com"	"34"	"8"	"6"		"北京昨日无新增报告新冠肺炎确诊病例，出院5例   4月30日0时至24时，无新增报告境外输入新冠肺炎确诊病例、疑似病例和无症状感染者，治愈出院病例5例。截至4月30日24时，累计报告境外输入确诊病例174例，累计出院140例，在院34例。       4月30日0时至24时，无新增报告本地确诊病例、疑似病例和无症状感染者。截至4月30日24时，累计报告本地确诊病例419例，累计出院407例，在院3例，累计死亡9例。      全市已连续15天无本地报告新增确诊病例，具体为平谷区自有疫情以来无报告病例、延庆区98天、门头沟区88天、怀柔区84天、顺义区82天、密云区79天、石景山区77天、大兴区77天、房山区74天、昌平区73天、西城区71天、通州区71天、丰台区58天、东城区55天、海淀区38天、 朝阳区15天。转发理由:【北京昨日无新增报告新冠肺炎确诊病例，出院5例】"
