"_id"	"crawl_time"	"weibo_url"	"user_id"	"created_at"	"tool"	"like_num"	"repost_num"	"comment_num"	"image_url"	"content"
"JrZL0DnbA"	"1619593991"	"https://weibo.com/1699432410/JrZL0DnbA"	"1699432410"	"2020-11-02 07:56:04"	"微博 weibo.com"	"28"	"20"	"5"	"[""http://wx4.sinaimg.cn/wap180/001R0E0aly1gkahy6xpdbj60fm0fmx6p02.jpg""]"	"【世卫组织：#全球累计新冠确诊病例达45942902例#】世界卫生组织1日公布的最新数据显示，全球累计新冠确诊病例达45942902例。 　　世卫组织网站最新数据显示，截至欧洲中部时间1日13时49分（北京时间20时49分），全球确诊病例较前一日增加473311例，达到45942902例；死亡病例增加6578例，达到1192644例。"
"Jseseapoc"	"1619593995"	"https://weibo.com/1699432410/Jseseapoc"	"1699432410"	"2020-11-03 21:20:59"	"微博 weibo.com"	"22"	"10"	"8"	"[""http://wx1.sinaimg.cn/wap180/001R0E0aly1gkcamw8ptbj60fm0fmx6p02.jpg""]"	"#严防疫情反弹#【#新疆3日报告新增新冠肺炎确诊病例2例# 无症状感染者116例】记者从11月3日新疆维吾尔自治区人民政府新闻办公室召开的疫情防控工作新闻发布会上获悉，11月2日24时至3日 20时30分，喀什地区新增新冠肺炎确诊病例2例，均为无症状感染者转确诊，新增无症状感染者116例，全部来自接受隔离医学观察人员，均与疏附县站敏乡关联，克孜勒苏柯尔克孜自治州无新增确诊病例和无症状感染者。        截至11月3日20时30分，新疆（含兵团）现有确诊病例64例，无症状感染者345例。（记者李志浩、潘莹）"
"JsdGDnglZ"	"1619593995"	"https://weibo.com/1699432410/JsdGDnglZ"	"1699432410"	"2020-11-03 19:23:44"	"微博 weibo.com"	"37"	"12"	"7"	"[""http://wx3.sinaimg.cn/wap180/001R0E0aly1gkc7fw29tgj61400u0u0y02.jpg""]"	"#而立浦东再出发#【洋山新速度：上海港单月集装箱吞吐量再破历史纪录】长江口外，东海之滨，洋山深水港如入海明珠。洋山港四期自动化码头是全世界最大的自动化集装箱码头，其投入使用为世界第一大集装箱港口上海港发展增添新动力。在新冠肺炎疫情给全球物流业带来重重挑战的背景下，10月，上海港集装箱吞吐量首次实现单月突破400万标准箱，以420万标准箱刷新月度历史纪录，比7月份刚创下的月度纪录多29.7万标准箱，同比增长15.7%。（记者谢锐佳、申铖、杨有宗）"
"Jsdfhu9Gj"	"1619593995"	"https://weibo.com/1699432410/Jsdfhu9Gj"	"1699432410"	"2020-11-03 18:16:21"	"微博 weibo.com"	"17"	"19"	"3"	"[""http://wx3.sinaimg.cn/wap180/001R0E0aly1gkc5hu4pm7j60fm0fmx6p02.jpg""]"	"#严防疫情反弹#【北京：确保进口冷链食品渠道清晰、全部可追溯】北京市委宣传部副部长、市政府新闻办主任、市政府新闻发言人徐和建在3日举行的北京市新冠肺炎疫情防控工作新闻发布会上表示，继续强化进口冷链食品监管，发挥冷链食品追溯平台作用，督促引导相关生产经营单位严格落实主体责任，确保进口冷链食品渠道清晰、全部可追溯。进一步完善全国口岸冷链食品清关进京措施。持续做好菜场、冷库等重点场所环境和人员核酸检测。（记者赵旭、陈钟昊）"
"JscQGpTRY"	"1619593995"	"https://weibo.com/1699432410/JscQGpTRY"	"1699432410"	"2020-11-03 17:15:45"	"微博 weibo.com"	"30"	"12"	"3"	"[""http://wx3.sinaimg.cn/wap180/001R0E0aly1gkc3qwri5rj60fm0fmx6p02.jpg""]"	"#直通进博会##进博会2020#【第三届进博会新闻中心试运营 迎接3000多名记者参会报道】第三届中国国际进口博览会即将举行。记者了解到，今年进博会吸引了3000多名中外媒体记者采访报道，其中包括来自107家境外传媒机构的记者。进口博览会新闻中心3日对外开放试运营，4日起将正式启用。 　　本届进博会新闻中心总面积约1.3万平方米，设置了咨询服务区、媒体工作区、广播电视技术服务区、采访室、新闻发布厅等多个功能区，能满足记者直播连线、采访预约、办公发稿、参加新闻发布会以及就餐休息等需求。 　　在今年新冠肺炎疫情防控常态化的形势下，新闻中心坚守安全办会底线，将防疫工作放在首要位置，成立了疫情防控工作专班，制订疫情防控工作方案，聚焦人员、物品、场所落实防疫措施，加强应急处置，保证中外记者安全参会。 　　今年进博会要求所有参会人员做好个人健康监测，提供随申码或健康码、核酸检测报告等，才能激活证件进入国家会展中心（上海）。新闻中心设置有验证测温一体机，发现体温异常人员将按照进博会现场应急处置预案及时处置。此外，新闻中心在每个功能区出入口均放置了免洗消毒液、一次性口罩和防疫物品专用垃圾桶。 　　今年进博会，国家会展中心（上海）对5G网络进行了优化，增加了更多5G网络布点，上网速度将更稳定，使用体验也将更流畅，满足媒体融合报道的技术需求。新闻中心还在三层设置了“云采访”区域，通过视频连线方式，帮助中外记者采访因疫情影响无法来沪参加进博会的跨国企业CEO或海外负责人。"
"JsargsKMW"	"1619593995"	"https://weibo.com/1699432410/JsargsKMW"	"1699432410"	"2020-11-03 11:07:38"	"微博 weibo.com"	"45"	"25"	"10"	"[""http://wx4.sinaimg.cn/wap180/001R0E0aly1gkbt3vu634j617h0u0qv702.jpg""]"	"【#美国7天平均单日新增病例首超8万#】美国疾病控制和预防中心网站2日公布的数据显示，美国最近7天平均单日新增病例达到80800例，这是疫情暴发以来7天平均单日新增病例创下的最高纪录。 　　近期美国疫情严重反弹，新增病例数不断刷新纪录。10月30日全美报告新增新冠确诊病例99750例，这不仅是美国疫情暴发以来单日最高纪录，也刷新了全球范围内的一国单日新增病例纪录。 　　自10月初以来，美国7天平均单日新增病例呈直线上升态势，从平均每日新增约4.3万例升至目前的平均每日新增超过8万例。7天平均单日新增死亡病例也持续增长，目前为每天新增约800例。 　　美国国家过敏症和传染病研究所所长、白宫冠状病毒应对工作组重要成员安东尼·福奇在10月30日接受《华盛顿邮报》采访时表示，随着秋冬季到来，人们有更多聚集活动在室内进行，但美国所有州疫情形势不容乐观。美国需要在公共卫生实践和行为上立即做出改变。 　　福奇同时认为，美国单日新增病例可能很快会超过10万例，预计未来几周死亡数字也将上升。"
"Jsa3onNs8"	"1619593995"	"https://weibo.com/1699432410/Jsa3onNs8"	"1699432410"	"2020-11-03 10:08:49"	"微博 weibo.com"	"25"	"20"	"6"	"[""http://wx2.sinaimg.cn/wap180/001R0E0aly1gkbreo5d4fj61930u0tcn02.jpg""]"	"【#格鲁吉亚总理新冠病毒检测结果呈阳性#】格鲁吉亚总理府2日证实，格总理加哈里亚新冠病毒检测结果呈阳性。        9月7日，在格鲁吉亚第比利斯附近的瓦贾尼军事基地，格鲁吉亚总理加哈里亚在联合军演开幕式上致辞。（新华社发，塔穆娜摄） 　　据格总理府新闻办公室当天发布的消息，加哈里亚目前感觉尚好，将在家中接受治疗。 　　加哈里亚1日曾通过社交媒体宣布，因身边一名安保人员新冠病毒检测结果呈阳性，他将进行自我隔离。 　　另据格鲁吉亚媒体报道，因与确诊患者有密切接触，格经济部长特尔纳瓦2日开始自我隔离。 　　据格鲁吉亚政府防控新冠疫情网站2日公布的数据，该国新增确诊病例1852例，累计确诊42579例，累计死亡342例。"
"Js9ehcwmL"	"1619593995"	"https://weibo.com/1699432410/Js9ehcwmL"	"1699432410"	"2020-11-03 08:02:52"	"微博 weibo.com"	"23"	"12"	"4"	"[""http://wx2.sinaimg.cn/wap180/002DD3Mfly1gkbnjcrhcpj60n00ndae102.jpg""]"	"北京11月2日新增2例境外输入新冠肺炎确诊病例和1例无症状感染者   11月2日0时至24时，无新增报告本地确诊病例、疑似病例和无症状感染者；新增报告2例境外输入确诊病例和1例无症状感染者。  确诊病例一：某男，30岁，江西籍，自巴基斯坦乘坐CA946航班于10月30日到达北京首都机场，海关进行健康筛查并采样后，经闭环管理送至集中隔离酒店，当日海关报告新冠病毒核酸检测结果为阴性。11月1日对其进行核酸检测结果为阳性，11月2日由120负压救护车转运至地坛医院，市疾控中心核酸检测复核结果为阳性。综合流行病学史、临床表现、实验室检测和影像学检查等结果，经市级专家组会诊，诊断为确诊病例，临床分型为普通型。  确诊病例二：某男，27岁，甘肃籍，为10月27日通报的从巴基斯坦输入的无症状感染者。10月31日对其复查核酸检测结果为阳性，11月2日复查胸部CT提示右下肺新发炎症病灶。综合流行病学史、临床表现、实验室检测和影像学检查等结果，经市级专家组会诊，诊断为确诊病例，临床分型为普通型。  已对以上2例确诊病例同航班及同乘车的密切接触者落实集中隔离医学观察措施，目前无异常报告。  无症状感染者：男，36岁，北京籍，2019年11月13日起在匈牙利布达佩斯生活。自奥地利乘坐CA842航班于11月1日到达北京首都机场，海关进行健康筛查并采样后，经闭环管理送至集中隔离酒店，当日海关报告新冠病毒核酸检测为阳性，11月2日由120负压救护车转运至地坛医院。患者无异常症状，市疾控中心核酸检测复核结果为阳性。经市级专家组会诊，诊断为无症状感染者，目前正进行流行病学调查，按要求落实密切接触者管理措施。  目前，境外输入确诊病例时有发生，市民朋友如非必要，应避免国际旅行。如果必须乘坐飞机，也应尽量选择直航航班，减少飞机中转。有发热或呼吸道症状，特别是近期与呼吸道传染病患者有过密切接触的，建议暂缓出行。注意手卫生，清洁双手前不要触碰口、眼、鼻，接触可能被污染的物品后必须洗手。遵循呼吸卫生、咳嗽礼仪，咳嗽、打喷嚏时用肘部或纸巾遮掩。不随地吐痰，口鼻分泌物用纸巾包好弃置于垃圾箱内。尽量与他人保持1米以上的社交距离，如果难以避免近距离接触，应佩戴口罩。尽量选择刷卡、扫码等无接触方式购票，并按预定位置就坐，不随意调换座位。转发理由:#聚焦北京疫情防控# 【北京11月2日新增2例境外输入新冠肺炎确诊病例和1例无症状感染者】"
"Js96YgsnF"	"1619593995"	"https://weibo.com/1699432410/Js96YgsnF"	"1699432410"	"2020-11-03 07:44:53"	"微博 weibo.com"	"19"	"62"	"4"	"[""http://wx1.sinaimg.cn/wap180/001R0E0aly1gkbn8uqldbj60fm0fmx6p02.jpg""]"	"【世卫组织：#全球累计新冠确诊病例达46403652例#】世界卫生组织2日公布的最新数据显示，全球累计新冠确诊病例达46403652例。 　　世卫组织网站最新数据显示，截至欧洲中部时间2日15时46分（北京时间22时46分），全球确诊病例较前一日增加440577例，达到46403652例；死亡病例增加5719例，达到1198569例。（记者刘曲）"
"Jsoe9eqDg"	"1619593999"	"https://weibo.com/1699432410/Jsoe9eqDg"	"1699432410"	"2020-11-04 22:13:46"	"微博 weibo.com"	"32"	"25"	"10"	"[""http://wx2.sinaimg.cn/wap180/001R0E0aly1gkdhz96z73j60fm0fmx6p02.jpg""]"	"#严防疫情反弹#【#台湾连续8天出现新冠肺炎确诊病例# 累计输出52例】台湾地区疫情近期有所升温。台流行疫情指挥中心4日举行记者会公布，台湾新增1名新冠肺炎确诊病例，为一名自波兰返回的20多岁台湾女性。这是台湾近期连续第8天出现新冠肺炎确诊患者。 　　台流行疫情指挥中心介绍，自6月起，台湾陆续被其他国家和地区验出台湾输出病例，截至目前，自台湾出境被检出新冠肺炎病毒阳性者共52名。该中心负责人称，这些阳性个案在台湾接触者共1855人，须采检的1297人采检结果抗体抗原都是阴性，并称目前还可以维持台湾本地疫情安全。 　　该中心指出，全球疫情持续升温，欧洲、美国为目前疫情主要流行地区，民众应避免所有非必要的出境旅游。该中心宣布，自11月9日起，将强化“过去14天内有症状旅客”的入境检疫措施。入境有症状或过去14天内有症状旅客须配合在机场(或入境后至医院)采集检体，并至集中检疫场所待候检验结果；检验阴性者须于间隔第一次采检至少24小时后进行第二次采检。二次检验结果均为阴性且症状缓解者，经医师评估后，才能返家或前往防疫旅宿续行居家检疫至期满。 　　指挥中心表示，截至目前，台湾累计102790例新冠肺炎相关通报(含101351例排除)，其中568例确诊，确诊个案中7人死亡。"
"JsnFV2dom"	"1619593999"	"https://weibo.com/1699432410/JsnFV2dom"	"1699432410"	"2020-11-04 20:49:26"	"微博 weibo.com"	"18"	"9"	"5"	"[""http://wx1.sinaimg.cn/wap180/001R0E0aly1gkdfjgl2njj60fm0fmx6p02.jpg""]"	"#严防疫情反弹#【#香港新增3例新冠肺炎确诊病例#】香港特区政府卫生署卫生防护中心4日公布，截至当日零时零分，香港新增3例新冠肺炎确诊病例，其中本地感染病例2例、输入性病例1例。香港累计报告新冠肺炎确诊病例5348例。 　　卫生防护中心表示，当日新增个案中，有1宗曾于潜伏期身处外地，另外2宗与其他本地个案相关。 　　香港医院管理局介绍，截至当日上午9时，过去24小时共有9名确诊病人出院，至今共有5118名确诊或疑似病人康复出院。现在共有92名确诊病人分别于20间公立医院留医，其中8人情况危殆，3人情况严重，其余81人情况稳定。"
"JsnCNpSmu"	"1619593999"	"https://weibo.com/1699432410/JsnCNpSmu"	"1699432410"	"2020-11-04 20:41:45"	"微博 weibo.com"	"233"	"31"	"42"	"[""http://wx3.sinaimg.cn/wap180/001R0E0aly1gkdfbglv3jj60fm0fmx6p02.jpg""]"	"【#2020年美国总统选举选情胶着结果未定#】2020年美国大选投票当地时间3日晚全部结束，并随即开始计票。经过一夜等待，美国人未能等来谁将成为他们下一任总统的明确结果。 　　根据初步计票和美国各大媒体测算，共和党总统候选人、现任总统特朗普和民主党总统候选人、前副总统拜登选情异常胶着，截至美国东部时间4日6时，两人均暂未获得当选总统所需的270张选举人票。拜登在已获选举人票数上稍稍领先，并赢得“摇摆州”之一的亚利桑那州，但特朗普也拿下了佛罗里达州和俄亥俄州两个“摇摆州”，并在多个计票尚在进行的“摇摆州”暂时领先。 　　据媒体报道，宾夕法尼亚州、密歇根州等重要“摇摆州”之所以难以按惯例在选举日当晚完成计票，主要是新冠疫情等因素导致邮寄选票、提前投票数量激增，增加了统计难度和所需时间。 　　4日凌晨，拜登率先发表简短讲话称，他对赢得胜利充满信心，因大量选票仍在统计中，希望广大选民保持耐心。特朗普随后也发表讲话，称自己认为“确实已经赢得本次选举”，但指称可能发生舞弊行为，将诉诸联邦最高法院解决。拜登阵营对此回应说，其法律团队已就应对“总统实施其阻止继续计票的威胁”做好准备。 　　由于新冠疫情、政治极化、种族矛盾等问题交织叠加，2020年美国大选异常复杂激烈，充满不确定性。选前很多媒体和民众就担心选举结果可能延迟出炉，造成争议并引发混乱和动荡。美国媒体4日评论称，大选夜的胶着局面，进一步显示出美国社会和民意的严重分裂。 　　3日的大选还涉及数百名国会参众两院议员和十多名州长等地方官员的改选。截至发稿时，尚有数十个国会席位的计票仍在进行中。"
"Jsmx54X8O"	"1619593999"	"https://weibo.com/1699432410/Jsmx54X8O"	"1699432410"	"2020-11-04 17:54:55"	"微博视频号"	"51"	"12"	"4"		"#直通进博会2020#【进博会媒体包里藏着哪些防疫小秘密？】第三届中国国际进口博览会即将在上海开幕。每一年，主办方都会为记者配备一个媒体包。在今年新冠疫情防控常态化的形势下，媒体包里又有哪些贴心小物件，为记者采访“保驾护航”呢？戳视频⬇#进博会媒体包里的防疫小秘密#  新华视点的微博视频"
